fs_time,time,weight,lnV0,beta,phi,rho,k,delta,pi,c,T,E,I,R,V,next_event,next_time
21.0,0.0,0.1,3.837422810839807,4.953426673300174,2.786713507311129,0.010041627154965078,4.0,3.4894211729021665,387.8886836766732,10.0,80000000.0,1.0,0.0,0.0,46.0,0,0.0
21.0,0.0,0.1,4.34191560945263,8.399491560940048,8.945058353647221,0.01489490493555813,4.0,2.189202365296246,402.0151570141781,10.0,80000000.0,1.0,0.0,0.0,77.0,0,0.0
21.0,0.0,0.1,4.761806558971889,7.372871372457395,5.516305070255855,0.02377653255747115,4.0,2.323591158578656,375.52006823120723,10.0,80000000.0,1.0,0.0,0.0,117.0,0,0.0
21.0,0.0,0.1,0.7321862847557117,3.428978211336638,4.280188493873545,0.0170762775224502,4.0,3.8492392298831986,396.02398498762875,10.0,80000000.0,1.0,0.0,0.0,2.0,0,0.0
21.0,0.0,0.1,3.254314680007404,6.110853118548603,7.909580029721423,0.020093297243113244,4.0,1.554010761432653,352.5627811217317,10.0,80000000.0,1.0,0.0,0.0,26.0,0,0.0
21.0,0.0,0.1,2.1623021432341414,5.830156894831557,0.8661995238351892,0.000281810512221053,4.0,1.023141092680912,382.19236399883016,10.0,80000000.0,1.0,0.0,0.0,9.0,0,0.0
21.0,0.0,0.1,1.0863003522977503,2.8884574800189986,1.4891335730241435,0.013636944885210766,4.0,2.5305759979024622,404.64938654023666,10.0,80000000.0,1.0,0.0,0.0,3.0,0,0.0
21.0,0.0,0.1,0.14966672518187385,9.375581719666528,3.8702499838203144,0.0024481595720222344,4.0,3.392231653722039,368.85181284769845,10.0,80000000.0,1.0,0.0,0.0,1.0,0,0.0
21.0,0.0,0.1,1.8242836392950883,0.7252873265440309,9.38949862887222,0.006826927625370683,4.0,1.8038647421111325,358.1989417735979,10.0,80000000.0,1.0,0.0,0.0,6.0,0,0.0
21.0,0.0,0.1,2.5323579539214776,1.7416796445739262,6.0262016279393915,0.0075260805015089005,4.0,2.909336676290932,367.66773800076,10.0,80000000.0,1.0,0.0,0.0,13.0,0,0.0
21.0,1.0,0.1,4.555866655324861,6.918882798191407,3.9997245754576647,0.022162807448577133,4.0,2.215250934657588,371.4453112553817,10.0,79883356.15550628,211.62204215674728,130.6069861444118,116243.81008796857,3272.9582186369535,0,0.0
21.0,1.0,0.1,4.539738383042671,7.093964347128492,4.557655926578601,0.022596555019911625,4.0,2.2337573603016994,372.5342376639806,10.0,79883356.15550628,211.62204215674728,130.6069861444118,116243.81008796857,3272.9582186369535,0,0.0
21.0,1.0,0.1,4.837639819098618,7.401626667998528,5.857673107614985,0.02388097083461961,4.0,2.467594097317358,377.30826527919754,10.0,79883356.15550628,211.62204215674728,130.6069861444118,116243.81008796857,3272.9582186369535,0,0.0
21.0,1.0,0.1,4.691198349777932,6.944295113414922,4.474187387869925,0.023896621803615296,4.0,2.3467198309993154,371.1729444570717,10.0,79883356.15550628,211.62204215674728,130.6069861444118,116243.81008796857,3272.9582186369535,0,0.0
21.0,1.0,0.1,4.797733486134738,6.949230489013407,3.727236457171164,0.027463266155170148,4.0,2.239482248167287,361.145608984686,10.0,79883356.15550628,211.62204215674728,130.6069861444118,116243.81008796857,3272.9582186369535,0,0.0
21.0,1.0,0.1,4.5813779617159325,8.674609902094987,9.382471095354735,0.017523221741209558,4.0,2.191693177888304,399.68404927160805,10.0,79943688.0942245,79.0,41.0,56169.90577538159,1051.986172692163,0,0.0
21.0,1.0,0.1,4.585608527633639,7.827590410248106,8.044988234356605,0.017809449929731762,4.0,2.4795886544723533,394.8047541532719,10.0,79943688.0942245,79.0,41.0,56169.90577538159,1051.986172692163,0,0.0
21.0,1.0,0.1,4.476889330352022,8.416954944808621,9.40142621247527,0.015842117846399658,4.0,2.38625787931908,400.0,10.0,79943688.0942245,79.0,41.0,56169.90577538159,1051.986172692163,0,0.0
21.0,1.0,0.1,4.2138768691073345,8.484494952420414,9.422046501918006,0.012643953618580069,4.0,2.1823259198613694,400.0,10.0,79943688.0942245,79.0,41.0,56169.90577538159,1051.986172692163,0,0.0
21.0,1.0,0.1,1.9478671119965854,5.303507081600579,0.0001,0.0001,4.0,1.0,378.0041993301483,10.0,79999686.0144692,2.0,3.0,309.9855328776582,58.0,0,0.0
21.0,2.0,0.09879543147472734,4.555866655324861,6.918882798191407,3.9997245754576647,0.022162807448577133,4.0,2.215250934657588,371.4453112553817,10.0,574940.9362128641,26905.18439413619,122083.89910056391,78963857.49324156,5082388.766428214,0,0.0
21.0,2.0,0.10075384172994152,4.539738383042671,7.093964347128492,4.557655926578601,0.022596555019911625,4.0,2.2337573603016994,372.5342376639806,10.0,503888.93211736885,21707.99775378461,105824.57424351608,79076109.2387659,4467624.528252118,0,0.0
21.0,2.0,0.10441192495850923,4.837639819098618,7.401626667998528,5.857673107614985,0.02388097083461961,4.0,2.467594097317358,377.30826527919754,10.0,486016.1955284158,14976.509105427098,73181.25220475513,79159659.99983998,3224114.2945953486,0,0.0
21.0,2.0,0.10135671537387532,4.691198349777932,6.944295113414922,4.474187387869925,0.023896621803615296,4.0,2.3467198309993154,371.1729444570717,10.0,604703.8124112126,22791.19519970267,101357.818922996,78973435.45934528,4275821.198971356,0,0.0
21.0,2.0,0.09836290083786763,4.797733486134738,6.949230489013407,3.727236457171164,0.027463266155170148,4.0,2.239482248167287,361.145608984686,10.0,727760.8973357532,30913.999138452557,129726.94311735337,78787637.1577551,5217780.844609728,0,0.0
21.0,2.0,0.10518055637034439,4.5813779617159325,8.674609902094987,9.382471095354735,0.017523221741209558,4.0,2.191693177888304,399.68404927160805,10.0,258027.20421812354,11755.14000010607,63687.4540185865,79499295.43636765,2896579.576989147,0,0.0
21.0,2.0,0.1053264865724828,4.585608527633639,7.827590410248106,8.044988234356605,0.017809449929731762,4.0,2.4795886544723533,394.8047541532719,10.0,441020.5129164872,15435.03363074286,62896.66756016574,79298149.74554712,2825782.2108159456,0,0.0
21.0,2.0,0.10568694101293669,4.476889330352022,8.416954944808621,9.40142621247527,0.015842117846399658,4.0,2.38625787931908,400.0,10.0,290523.04885386105,11869.304197844993,57141.819639088164,79470547.13542047,2626902.594363023,0,0.0
21.0,2.0,0.10530155828647203,4.2138768691073345,8.484494952420414,9.422046501918006,0.012643953618580069,4.0,2.1823259198613694,400.0,10.0,210782.05573188147,11226.200461427969,62310.83538118969,79551839.40329736,2838171.1030123266,0,0.0
21.0,2.0,0.07482364338284293,1.9478671119965854,5.303507081600579,0.0001,0.0001,4.0,1.0,378.0041993301483,10.0,79969596.06275041,15744.440341601306,11769.126529783836,206.38577903445844,309990.92738602514,0,0.0
21.0,3.0,0.0876470957626498,4.555866655324861,6.918882798191407,3.9997245754576647,0.022162807448577133,4.0,2.215250934657588,371.4453112553817,10.0,97.0,2235.0203939710605,8639897.486313868,601732.9112436168,412007044.9903673,0,0.0
21.0,3.0,0.09001583580682371,4.539738383042671,7.093964347128492,4.557655926578601,0.022596555019911625,4.0,2.2337573603016994,372.5342376639806,10.0,86.0,1937.293917971968,8490344.26996887,525499.878457269,407034942.53280205,0,0.0
21.0,3.0,0.10378177391087819,4.837639819098618,7.401626667998528,5.857673107614985,0.02388097083461961,4.0,2.467594097317358,377.30826527919754,10.0,85.0,1339.6758344020866,6722692.06067306,500901.37714552187,336524655.5072803,0,0.0
21.0,3.0,0.09603725763458035,4.691198349777932,6.944295113414922,4.474187387869925,0.023896621803615296,4.0,2.3467198309993154,371.1729444570717,10.0,86.0,1855.5754454973278,7573455.22351168,627395.8368539979,367068529.16303647,0,0.0
21.0,3.0,0.08987976440159408,4.797733486134738,6.949230489013407,3.727236457171164,0.027463266155170148,4.0,2.239482248167287,361.145608984686,10.0,95.0,2375.0315841388715,8415962.820668375,758556.7290044475,391408358.35004413,0,0.0
21.0,3.0,0.08800233054568296,4.5813779617159325,8.674609902094987,9.382471095354735,0.017523221741209558,4.0,2.191693177888304,399.68404927160805,10.0,94.0,1165.8077495387051,8893371.077268692,269686.67771522707,455001520.35066,0,0.0
21.0,3.0,0.10262903779360025,4.585608527633639,7.827590410248106,8.044988234356605,0.017809449929731762,4.0,2.4795886544723533,394.8047541532719,10.0,97.0,1151.364088686732,6652406.351910131,456355.2153205108,349007934.29571587,0,0.0
21.0,3.0,0.09759665801467089,4.476889330352022,8.416954944808621,9.40142621247527,0.015842117846399658,4.0,2.38625787931908,400.0,10.0,66.0,1045.9958306025783,7317693.270967813,302324.6241310809,384221195.8123873,0,0.0
21.0,3.0,0.08759772269375958,4.2138768691073345,8.484494952420414,9.422046501918006,0.012643953618580069,4.0,2.1823259198613694,400.0,10.0,73.0,1140.6027870842206,8982677.041180277,221933.94895120585,459385751.1573016,0,0.0
21.0,3.0,0.15681252343576035,1.9478671119965854,5.303507081600579,0.0001,0.0001,4.0,1.0,378.0041993301483,10.0,78972984.63447665,521264.8785686261,391657.0889662813,22785.472049346605,10331268.471149694,0,0.0
21.0,4.0,0.09105587189357109,4.555866655324861,6.918882798191407,3.9997245754576647,0.022162807448577133,4.0,2.215250934657588,371.4453112553817,10.0,2.0,158150.44665394956,1823809.8932346352,2323.0203939710605,82021231.96092203,0,0.0
21.0,4.0,0.0945973293483035,4.539738383042671,7.093964347128492,4.557655926578601,0.022596555019911625,4.0,2.2337573603016994,372.5342376639806,10.0,0.0,155413.20886893763,1763639.307414036,2018.293917971968,79658582.85975939,0,0.0
21.0,4.0,0.12336005384568371,4.837639819098618,7.401626667998528,5.857673107614985,0.02388097083461961,4.0,2.467594097317358,377.30826527919754,10.0,1.0,123056.59165136302,1208714.7140619357,1420.6758344020866,56461012.44976467,0,0.0
21.0,4.0,0.10756094408146777,4.691198349777932,6.944295113414922,4.474187387869925,0.023896621803615296,4.0,2.3467198309993154,371.1729444570717,10.0,1.0,138629.51764867993,1477399.3385786924,1937.5754454973278,67195818.2248025,0,0.0
21.0,4.0,0.09547636495161418,4.797733486134738,6.949230489013407,3.727236457171164,0.027463266155170148,4.0,2.239482248167287,361.145608984686,10.0,1.0,154051.46103386141,1766989.0749771886,2464.0315841388715,77477710.43637335,0,0.0
21.0,4.0,0.08802731966785364,4.5813779617159325,8.674609902094987,9.382471095354735,0.017523221741209558,4.0,2.191693177888304,399.68404927160805,10.0,0.0,162790.13486347825,1867457.5370900868,1255.8077495387051,90068152.8675041,0,0.0
21.0,4.0,0.12098426831047408,4.585608527633639,7.827590410248106,8.044988234356605,0.017809449929731762,4.0,2.4795886544723533,394.8047541532719,10.0,0.0,121770.09527201277,1183698.201660161,1242.364088686732,57904984.81846307,0,0.0
21.0,4.0,0.10943602306196,4.476889330352022,8.416954944808621,9.40142621247527,0.015842117846399658,4.0,2.38625787931908,400.0,10.0,0.0,133947.88487910232,1363595.778174452,1108.9958306025783,66975494.31094487,0,0.0
21.0,4.0,0.08715684443031202,4.2138768691073345,8.484494952420414,9.422046501918006,0.012643953618580069,4.0,2.1823259198613694,400.0,10.0,0.0,164424.8480549308,1892027.3182000627,1209.6027870842206,91233179.76167919,0,0.0
21.0,4.0,0.08234498040875993,1.9478671119965854,5.303507081600579,0.0001,0.0001,4.0,1.0,378.0041993301483,10.0,52920072.21752242,12479459.570618562,11045802.223746702,701047.9394194541,304891883.09831226,0,0.0
21.0,5.0,0.09603444269302966,4.555866655324861,6.918882798191407,3.9997245754576647,0.022162807448577133,4.0,2.215250934657588,371.4453112553817,10.0,100.0,33386.401081523916,371398.2914252161,158041.78256329717,16665403.61394696,0,0.0
21.0,5.0,0.10045941020855162,4.539738383042671,7.093964347128492,4.557655926578601,0.022596555019911625,4.0,2.2337573603016994,372.5342376639806,10.0,100.0,32287.344571764905,354897.8387930156,155302.04757626096,15997523.031158498,0,0.0
21.0,5.0,0.13885625108846691,4.837639819098618,7.401626667998528,5.857673107614985,0.02388097083461961,4.0,2.467594097317358,377.30826527919754,10.0,100.0,22125.29455590156,209809.9829246151,122953.02697485437,9775184.571079459,0,0.0
21.0,5.0,0.11822435791054378,4.691198349777932,6.944295113414922,4.474187387869925,0.023896621803615296,4.0,2.3467198309993154,371.1729444570717,10.0,233.56140417907739,27048.312197632,276689.9824707061,138375.1252761307,12549791.008341597,0,0.0
21.0,5.0,0.1019220354647265,4.797733486134738,6.949230489013407,3.727236457171164,0.027463266155170148,4.0,2.239482248167287,361.145608984686,10.0,282.41258897866766,32351.605316690486,354304.7835938222,153737.653735227,15490421.293009866,0,0.0
21.0,5.0,0.09099894824043937,4.5813779617159325,8.674609902094987,9.382471095354735,0.017523221741209558,4.0,2.191693177888304,399.68404927160805,10.0,100.0,34187.05922803128,385969.2072636342,162690.02718891008,18596955.75994954,0,0.0
21.0,5.0,0.13600308791263116,4.585608527633639,7.827590410248106,8.044988234356605,0.017809449929731762,4.0,2.4795886544723533,394.8047541532719,10.0,118.94243731274229,21668.78088421977,203927.1299586535,121642.96777483539,9951860.715174653,0,0.0
21.0,5.0,0.12066567431113438,4.476889330352022,8.416954944808621,9.40142621247527,0.015842117846399658,4.0,2.38625787931908,400.0,10.0,81.0,24961.48981580551,249020.82066677904,133856.88487910232,12213639.685745517,0,0.0
21.0,5.0,0.08976609270351844,4.2138768691073345,8.484494952420414,9.422046501918006,0.012643953618580069,4.0,2.1823259198613694,400.0,10.0,47.0,34635.974496774594,393388.8006010271,164364.8480549308,18953803.363408677,0,0.0
21.0,5.0,0.00706969946695827,1.9478671119965854,5.303507081600579,0.0001,0.0001,4.0,1.0,378.0041993301483,10.0,1344598.2896460656,8133016.911736805,34157265.57854671,12774995.37006982,1257972665.021971,0,0.0
21.0,6.0,0.08725468168298184,4.555866655324861,6.918882798191407,3.9997245754576647,0.022162807448577133,4.0,2.215250934657588,371.4453112553817,10.0,100.0,6799.109015248291,92824.65553271557,33386.06790071719,4213751.559206166,0,0.0
21.0,6.0,0.09321232058294625,4.539738383042671,7.093964347128492,4.557655926578601,0.022596555019911625,4.0,2.2337573603016994,372.5342376639806,10.0,100.0,6497.194968223639,88006.65483456283,32287.138281901873,4014666.042383814,0,0.0
21.0,6.0,0.16080103353878591,4.837639819098618,7.401626667998528,5.857673107614985,0.02388097083461961,4.0,2.467594097317358,377.30826527919754,10.0,100.0,3841.1943373388226,46824.59599732574,22125.260414476823,2217713.854588681,0,0.0
21.0,6.0,0.12346712956565936,4.691198349777932,6.944295113414922,4.474187387869925,0.023896621803615296,4.0,2.3467198309993154,371.1729444570717,10.0,100.0,5065.752767662599,65026.52989423613,27179.68382481874,2990573.8137187487,0,0.0
21.0,6.0,0.0961102332182796,4.797733486134738,6.949230489013407,3.727236457171164,0.027463266155170148,4.0,2.239482248167287,361.145608984686,10.0,192.2476777481244,6486.860798143088,87361.85520658205,32433.68210640648,3865137.5648773788,0,0.0
21.0,6.0,0.07817701180888344,4.5813779617159325,8.674609902094987,9.382471095354735,0.017523221741209558,4.0,2.191693177888304,399.68404927160805,10.0,52.0,7066.067028390328,97912.62474137482,34233.05922803128,4771824.251534207,0,0.0
21.0,6.0,0.15681342723219766,4.585608527633639,7.827590410248106,8.044988234356605,0.017809449929731762,4.0,2.4795886544723533,394.8047541532719,10.0,100.0,3733.0614148116497,45303.89005234326,21687.51873546186,2248185.735819389,0,0.0
21.0,6.0,0.12785518922258549,4.476889330352022,8.416954944808621,9.40142621247527,0.015842117846399658,4.0,2.38625787931908,400.0,10.0,55.0,4559.435241389992,57766.49990110231,24983.48981580551,2875808.149441314,0,0.0
21.0,6.0,0.07626684219539959,4.2138768691073345,8.484494952420414,9.422046501918006,0.012643953618580069,4.0,2.1823259198613694,400.0,10.0,40.0,7201.23391014312,100297.24216200609,34640.974496774594,4887267.742299798,0,0.0
21.0,6.0,4.213095228085813e-05,1.9478671119965854,5.303507081600579,0.0001,0.0001,4.0,1.0,378.0041993301483,10.0,5696.519553717514,695655.7921796903,21321821.9547329,8138013.21168991,876296323.0944397,0,0.0
21.0,7.0,0.09016731953043101,4.555866655324861,6.918882798191407,3.9997245754576647,0.022162807448577133,4.0,2.215250934657588,371.4453112553817,10.0,100.0,1699.353293249652,22533.08338769493,6798.996031569771,1021351.037975598,0,0.0
